Id,Location,Year,Participants
1,Мадрид - Испания,1950,?
2,Мадрид - Испания,1951,?
3,Мадрид - Испания,1953,?
4,Мадрид - Испания,1955,?
5,Мадрид - Испания,1956,?
6,Мадрид - Испания,1957,?
7,Брюссель - Бельгия,1958,?
8,Модена - Италия,1959,?
9,Барселона - Испания,1960,?
10,Дуисбург - Германия,1961,?
11,Гиджон - Испания,1962,?
12,Дублин - Ирландия,1963,?
13,Лисбон - Португалия,1964,?
14,Глазгов - Великобритания,1965,?
15,Утречт - Нидерланды,1966,?
16,Мадрид - Испания,1967,?
17,Берн - Швейцария,1968,?
18,Брюссель - Бельгия,1969,?
19,Токио - Япония,1970,?
20,Гиджон - Испания,1971,?
21,Мунич - Германия,1973,?
22,Мадрид - Испания,1975,?
23,Утречт - Нидерланды,1977,?
24,Бузан - Корея,1978,?
25,Корк - Ирландия,1979,?
26,Атланта - США,1981,?
27,Линз - Австрия,1983,?
28,Осака - Япония,1985,?
29,Сидней - Австралия,1988,?
30,Бримингхэм - Великобритания,1989,?
31,Амстердам - Нидерланды,1991,?
32,Тайпей - Китайский Тайпей,1993,?
33,Лион - Франция,1995,?
34,Св. Галлен - Швейцария,1997,?
35,Монреал - Канада,1999,?
36,Сеул - Южная Корея,2001,?
37,Св. Галлен - Швейцария,2003,?
38,Хельсинки - Финландия,2005,?
39,Шизуока - Япония,2007,?
40,Калгари - Канада,2009,?
41,Лондон - Великобритания,2011,?
42,Лепзиг - Германия,2013,?
43,Сао Пауло - Бразилия,2015,?
44,Абу Даби - ОАЭ,2017,?
45,Казань - Россия,2019,?
46,Шанхай - Китай,2021,?